"","YEAR","JUNIO"
"1",1968,12.7
"2",1969,153.6
"3",1970,55.6
"4",1971,56.1
"5",1972,1.6
"6",1973,100.7
"7",1974,69.8
"8",1975,70.7
"9",1976,71.9
"10",1977,110
"11",1978,0.6
"12",1979,2.3
"13",1980,110.5
"14",1981,150.7
"15",1982,60.4
"16",1983,114.4
"17",1984,122
"18",1985,8.8
"19",1986,101.7
"20",1987,7.4
"21",1988,149.2
"22",1989,67.5
"23",1990,72.1
"24",1991,28.7
"25",1992,50.7
"26",1993,46.1
"27",1994,2.2
"28",1995,1.2
"29",1996,115.9
"30",1997,170
"31",1998,106.5
"32",1999,163.4
"33",2000,129.4
"34",2001,43.7
"35",2002,113
"36",2003,113.8
"37",2004,40.9
"38",2005,167.1
"39",2006,160.3
"40",2007,60.6
"41",2008,204.8
"42",2009,201.2
"43",2010,208.1
"44",2011,117.5
"45",2012,73.8
"46",2013,100.4
"47",2014,58.1
